# Ang (º),Vel (º/s),Time (s)
82.0,-25.0,8.2
81.0,0.0,8.3
80.0,-100.0,8.3
80.0,0.0,8.4
76.0,25.0,8.4
76.0,0.0,8.4
77.0,-25.0,8.5
77.0,0.0,8.5
76.0,0.0,8.6
76.0,0.0,8.6
76.0,0.0,8.6
76.0,-25.0,8.7
76.0,75.0,8.7
75.0,0.0,8.8
78.0,100.0,8.8
78.0,-75.0,8.8
82.0,-50.0,8.9
79.0,-25.0,8.9
77.0,25.0,9.0
76.0,25.0,9.0
77.0,50.0,9.0
78.0,-125.0,9.1
80.0,-100.0,9.1
75.0,-50.0,9.2
71.0,-50.0,9.2
69.0,-75.0,9.2
67.0,-50.0,9.3
64.0,-50.0,9.3
62.0,-50.0,9.4
60.0,25.0,9.4
58.0,25.0,9.4
59.0,0.0,9.5
60.0,125.0,9.5
60.0,0.0,9.6
65.0,-25.0,9.6
65.0,-50.0,9.6
64.0,-25.0,9.7
62.0,-25.0,9.7
61.0,0.0,9.8
60.0,25.0,9.8
60.0,0.0,9.8
61.0,0.0,9.9
61.0,25.0,9.9
61.0,50.0,10.0
62.0,100.0,10.0
64.0,100.0,10.0
68.0,-125.0,10.1
72.0,-25.0,10.1
67.0,-75.0,10.2
66.0,-25.0,10.2
63.0,75.0,10.2
62.0,-25.0,10.3
65.0,150.0,10.3
64.0,-25.0,10.4
70.0,25.0,10.4
69.0,75.0,10.4
70.0,-125.0,10.5
73.0,0.0,10.5
68.0,-25.0,10.6
68.0,50.0,10.6
67.0,-25.0,10.6
69.0,-25.0,10.7
68.0,25.0,10.7
67.0,25.0,10.8
68.0,25.0,10.8
69.0,0.0,10.8
70.0,0.0,10.9
70.0,25.0,10.9
70.0,50.0,11.0
71.0,50.0,11.0
73.0,150.0,11.0
75.0,0.0,11.1
